t1,t2,mse_1,mse_2_A,mse_2_B
dark marble,dark marble,"56.80648136138916, 56.51404166221619, 55.5382444858551, 53.78188180923462, 49.623892068862915, 43.82142353057861, 30.210591077804565, 15.99210262298584, 14.329990863800049, 19.032487392425537","56.80648136138916, 56.39013051986694, 55.799320697784424, 55.614784479141235, 55.88026022911072, 56.29173469543457, 56.8078978061676, 57.23109149932861, 57.551517963409424, 57.74028539657593","42.00631046295166, 40.132564544677734, 37.731266498565674, 34.491506814956665, 31.849083185195923, 29.887704849243164, 27.16936230659485, 23.82364845275879, 20.924230575561523, 19.032487392425537"
smooth paint,shiny silicon,"21.188332557678223, 34.79204320907593, 43.25049138069153, 47.48636794090271, 45.756913900375366, 43.525132179260254, 43.38449311256409, 42.704299211502075, 43.86615800857544, 46.099454402923584","21.188332557678223, 39.108238697052, 47.24679398536682, 56.98399329185486, 57.74348592758179, 59.16299390792847, 58.191829204559326, 57.28792715072632, 56.14282560348511, 56.84645223617554","56.764657974243164, 56.98307704925537, 56.9921452999115, 54.30050730705261, 55.03890895843506, 54.3891224861145, 52.76289224624634, 48.61638784408569, 46.10154724121094, 46.099454402923584"
slick marble,smooth plastic,"27.123299598693848, 17.3591411113739, 7.911646842956543, 18.320926189422607, 23.147342443466187, 27.669838190078735, 32.68127751350403, 39.22137427330017, 43.188833713531494, 51.49011993408203","27.123299598693848, 25.800500631332397, 30.202100038528442, 40.541884660720825, 44.03952622413635, 49.98954129219055, 54.000407457351685, 57.10826134681702, 53.74701237678528, 56.83544063568115","59.22703790664673, 60.9644296169281, 59.74956250190735, 58.81679034233093, 57.913398027420044, 57.42406725883484, 56.304553270339966, 53.912702322006226, 47.0266969203949, 51.49011993408203"
dull paint,smooth silicon,"28.41672420501709, 22.98494005203247, 15.035615682601929, 7.201182126998901, 2.2449536323547363, 3.2128376960754395, 11.334637641906738, 25.936848163604736, 40.226407527923584, 45.705992460250854","28.41672420501709, 37.58719086647034, 40.090842962265015, 50.785762548446655, 60.69813585281372, 56.705979108810425, 59.21370053291321, 57.584970474243164, 55.39275336265564, 52.77501821517944","56.412012815475464, 56.51790380477905, 56.71753120422363, 54.2457070350647, 46.62077355384827, 44.99809169769287, 42.53149461746216, 35.07763075828552, 39.151474475860596, 45.705992460250854"
matte peridot,reflective graphite,"59.1825110912323, 57.69782567024231, 58.376134157180786, 58.67680215835571, 58.59248948097229, 58.48855495452881, 59.45774173736572, 59.832587003707886, 59.386971950531006, 59.60246706008911","59.1825110912323, 58.683573722839355, 56.80893015861511, 57.726309061050415, 59.51491117477417, 59.23914647102356, 60.703083753585815, 60.47355270385742, 61.641990661621094, 57.08197736740112","47.90000605583191, 50.99925184249878, 56.10305142402649, 59.84455132484436, 60.291619300842285, 60.53218388557434, 60.500447511672974, 59.525099754333496, 58.82842493057251, 59.60246706008911"
dark marble,matte sandpaper,"52.218135833740234, 57.10271239280701, 52.62581729888916, 34.29791021347046, 18.141005039215088, 13.353412389755249, 22.762515544891357, 41.85157012939453, 50.63926386833191, 55.43713426589966","52.218135833740234, 61.41074466705322, 60.46943664550781, 61.1902494430542, 61.49344444274902, 60.646947622299194, 61.08211302757263, 61.133437156677246, 60.756279945373535, 60.53724408149719","47.70382475852966, 48.65316891670227, 48.64643311500549, 50.28649592399597, 48.60288119316101, 43.00714731216431, 46.435386180877686, 46.27395558357239, 47.71467614173889, 55.43713426589966"
polished magnesium,dark marble,"54.662415504455566, 56.18538212776184, 58.898337841033936, 60.22813296318054, 30.26235580444336, 9.252449750900269, 21.49318265914917, 54.070711612701416, 57.325623512268066, 60.448442220687866","54.662415504455566, 59.96771001815796, 63.4124813079834, 63.06839942932129, 64.47184038162231, 59.459463357925415, 54.35738825798035, 57.53979969024658, 58.84557342529297, 60.09941387176514","55.38179564476013, 55.368101835250854, 54.785054445266724, 54.944005727767944, 56.61500144004822, 57.585007190704346, 58.259387493133545, 60.17087769508362, 59.900092363357544, 60.448442220687866"
matte coal,matte peridot,"61.097878217697144, 62.17449998855591, 49.48075270652771, 30.68204426765442, 21.17180633544922, 29.460772275924683, 40.63185977935791, 49.1498920917511, 55.017295598983765, 56.77818703651428","61.097878217697144, 60.74959111213684, 59.835947036743164, 59.17419123649597, 59.97413659095764, 60.45332384109497, 58.17394399642944, 53.5004997253418, 53.959327697753906, 55.51422309875488","53.00384330749512, 61.359750747680664, 59.71310114860535, 57.99576187133789, 56.05475044250488, 55.0291383266449, 55.90077567100525, 57.38702178001404, 57.84720015525818, 56.77818703651428"
dull paint,metallic nickel,"61.6921489238739, 61.84428095817566, 61.00249147415161, 59.80442523956299, 58.08208346366882, 56.0467963218689, 57.42955803871155, 59.124452352523804, 57.416815996170044, 57.38876128196716","61.6921489238739, 64.54309725761414, 66.9788224697113, 63.58398675918579, 62.791274547576904, 60.74542474746704, 59.547462940216064, 59.583211183547974, 58.335079193115234, 58.21697521209717","56.195302963256836, 58.99519729614258, 56.338119983673096, 57.59749388694763, 54.986486196517944, 43.98657584190369, 45.833154916763306, 50.95177602767944, 55.92827105522156, 57.38876128196716"
smooth silicon,dark marble,"24.16171669960022, 29.175379514694214, 38.10416102409363, 41.312304735183716, 42.89193868637085, 43.62862944602966, 44.723917722702026, 45.4657347202301, 46.585535526275635, 47.69638705253601","24.16171669960022, 34.16762590408325, 44.03337526321411, 50.041231632232666, 54.94907021522522, 60.11524486541748, 60.98199963569641, 58.01936411857605, 59.02878212928772, 58.672330141067505","52.86739706993103, 53.05800771713257, 54.20573711395264, 55.01626396179199, 54.81682515144348, 54.35507822036743, 52.70715403556824, 51.68301033973694, 49.345481634140015, 47.69638705253601"
dark garnet,slick marble,"58.97920370101929, 58.735613107681274, 58.40031719207764, 57.81295394897461, 57.28208661079407, 56.92413640022278, 56.733834743499756, 57.13126182556152, 57.46438765525818, 58.00034427642822","58.97920370101929, 59.65659785270691, 59.66648602485657, 59.48103070259094, 59.50678372383118, 60.020421266555786, 60.214391231536865, 60.84186005592346, 61.665547370910645, 59.67519664764404","55.78457546234131, 55.71576476097107, 56.10835814476013, 56.45915389060974, 56.62082505226135, 57.03675961494446, 57.62890672683716, 57.3814013004303, 57.34058332443237, 58.00034427642822"
reflective silicon,glossy silicon,"54.94188666343689, 55.27379369735718, 55.53679132461548, 55.790027141571045, 55.90038347244263, 56.03890895843506, 55.962780714035034, 55.73031830787659, 54.84856724739075, 54.47792196273804","54.94188666343689, 53.735254764556885, 52.30944538116455, 49.09314846992493, 48.53605389595032, 50.62784433364868, 51.045119524002075, 51.399649143218994, 51.67609763145447, 48.46425437927246","55.43257212638855, 56.4625678062439, 56.95320749282837, 57.43451714515686, 57.1888644695282, 56.31846618652344, 56.043017625808716, 56.101048946380615, 55.87738108634949, 54.47792196273804"
dull gold,glossy emerald,"26.437872409820557, 18.028178453445435, 27.698053121566772, 53.38176774978638, 65.63075995445251, 55.61293816566467, 62.56063437461853, 57.305126905441284, 58.01434397697449, 57.963013648986816","26.437872409820557, 32.81042838096619, 40.119434118270874, 45.49403500556946, 47.26416039466858, 48.12196063995361, 51.31700110435486, 52.41320466995239, 52.163360357284546, 51.49066686630249","53.74332618713379, 54.35287117958069, 55.51248049736023, 56.66021800041199, 56.9781858921051, 57.64956521987915, 58.50540471076965, 58.624412536621094, 58.0760772228241, 57.963013648986816"
smooth paint,smooth paint,"51.14245820045471, 52.473633766174316, 49.359781980514526, 52.31834411621094, 54.649327516555786, 45.16176438331604, 35.28081679344177, 29.987201929092407, 29.210538387298584, 32.74654507637024","51.14245820045471, 27.697639226913452, 43.15420198440552, 51.252617597579956, 58.6695339679718, 56.20929145812988, 59.93313527107239, 60.793052196502686, 61.304590463638306, 60.354013442993164","51.10374593734741, 53.69116830825806, 47.33784604072571, 47.679948806762695, 47.810115814208984, 48.160813093185425, 46.65084171295166, 38.525655031204224, 32.114891052246094, 32.74654507637024"
polished emerald,reflective graphite,"31.04801106452942, 24.04782462120056, 16.368432998657227, 14.769129514694214, 22.815383911132812, 35.844542503356934, 42.85894012451172, 49.113038063049316, 54.543092489242554, 58.87127089500427","31.04801106452942, 35.24906039237976, 48.59892010688782, 54.204750537872314, 54.45615315437317, 57.38734769821167, 56.47040581703186, 54.991164445877075, 57.482093334198, 59.797739028930664","48.15772819519043, 50.77592086791992, 55.759793758392334, 60.72959923744202, 59.451605796813965, 58.80871367454529, 59.07066106796265, 60.435893058776855, 60.4143602848053, 58.87127089500427"
slick marble,dull paint,"56.47148013114929, 64.39079117774963, 40.56446409225464, 25.44632625579834, 17.8539297580719, 25.76063847541809, 50.13669276237488, 55.450525999069214, 60.412962436676025, 59.55736017227173","56.47148013114929, 58.71726870536804, 58.72748374938965, 58.82627558708191, 59.28948760032654, 56.40003538131714, 52.1101450920105, 45.38887357711792, 51.34456396102905, 56.31832313537598","57.86137890815735, 56.87755036354065, 58.99451446533203, 59.459264039993286, 57.29879069328308, 62.52072238922119, 57.63579797744751, 49.28422498703003, 42.62204551696777, 59.55736017227173"
smooth paint,shiny plastic,"44.17307639122009, 43.65273642539978, 49.00880813598633, 44.30019950866699, 41.65699648857117, 42.64260411262512, 40.94352388381958, 40.26961708068848, 36.91913390159607, 27.68427085876465","44.17307639122009, 44.68165683746338, 46.201091051101685, 49.31924843788147, 52.45811080932617, 54.08938217163086, 54.317190170288086, 53.09239459037781, 52.47285985946655, 51.78516626358032","46.05621361732483, 45.040555477142334, 44.08959412574768, 43.18877673149109, 42.81183195114136, 41.83966255187988, 39.313552379608154, 36.08765769004822, 32.29671382904053, 27.68427085876465"
dark asphalt,dark garnet,"60.37363934516907, 60.684526443481445, 59.525660037994385, 61.533793926239014, 57.49238872528076, 36.316110134124756, 7.533291339874268, 15.162679195404053, 30.63750195503235, 43.61782097816467","60.37363934516907, 60.392730712890625, 60.49535155296326, 60.68500113487244, 60.819478273391724, 61.103949785232544, 60.95662260055542, 60.55340242385864, 60.230570793151855, 60.348798990249634","58.189778089523315, 57.89174842834473, 56.24463152885437, 54.43466877937317, 55.02959895133972, 57.28857207298279, 57.80351257324219, 54.75525093078613, 49.62846040725708, 43.61782097816467"
dull glass,shiny plastic,"39.828715562820435, 20.832868099212646, 15.316201210021973, 17.37822699546814, 19.36113452911377, 22.748759746551514, 28.456732511520386, 35.60478496551514, 37.80347561836243, 40.917093992233276","39.828715562820435, 30.042579889297485, 28.154767274856567, 42.34041357040405, 44.94814610481262, 45.72834324836731, 49.74222016334534, 50.20339608192444, 49.09486269950867, 50.301342487335205","50.533756256103516, 48.981619358062744, 47.863821029663086, 47.087355852127075, 46.77628946304321, 45.89308786392212, 45.507214069366455, 44.466116428375244, 38.41877555847168, 40.917093992233276"
glossy emerald,slick marble,"49.44871163368225, 48.993056535720825, 51.59873604774475, 54.94571399688721, 53.32892084121704, 50.33411741256714, 46.55203890800476, 44.34076642990112, 42.16659235954285, 40.76101994514465","49.44871163368225, 43.69602680206299, 52.077481508255005, 54.61668252944946, 54.12380313873291, 59.44924783706665, 59.60952353477478, 58.44837546348572, 57.9714994430542, 59.52673029899597","57.518272161483765, 54.007545948028564, 52.59805512428284, 49.37397050857544, 46.41828107833862, 40.02221870422363, 36.281758069992065, 34.93234133720398, 37.002243995666504, 40.76101994514465"
blurry gold,smooth paint,"41.17926740646362, 40.73623180389404, 40.552120208740234, 43.05496072769165, 39.4712028503418, 53.98918890953064, 60.76970672607422, 61.28754758834839, 62.75577473640442, 55.511112213134766","41.17926740646362, 47.118802309036255, 50.90259885787964, 53.96990728378296, 55.74002003669739, 58.41954684257507, 59.3661367893219, 57.372400522232056, 56.63192176818848, 54.829198360443115","51.9851975440979, 52.2490336894989, 43.73074197769165, 47.971200466156006, 55.28890633583069, 59.26858878135681, 61.268632650375366, 60.80467438697815, 57.039461612701416, 55.511112213134766"
smooth silicon,smooth sandstone,"55.70852756500244, 54.93696975708008, 54.20289206504822, 53.586143016815186, 53.025251626968384, 52.521854639053345, 51.74555993080139, 50.014259338378906, 45.957826375961304, 27.89344882965088","55.70852756500244, 55.4631769657135, 55.435935974121094, 55.29771447181702, 54.41851329803467, 53.559014558792114, 51.76930618286133, 49.78306460380554, 48.825181007385254, 49.92495942115784","43.094876527786255, 41.038052558898926, 38.815001249313354, 37.50602865219116, 37.14057803153992, 36.86104869842529, 36.38280272483826, 35.42794847488403, 31.384586095809937, 27.89344882965088"
matte cobblestone,slick marble,"42.29629421234131, 46.51777720451355, 41.950284481048584, 24.333334922790527, 19.69684410095215, 23.118385553359985, 25.63350749015808, 28.645369291305542, 39.42638278007507, 50.48618221282959","42.29629421234131, 60.11215162277222, 60.00689220428467, 60.68234872817993, 60.60406970977783, 58.78997445106506, 56.889917612075806, 56.67845940589905, 57.72402095794678, 58.543967962265015","54.92818999290466, 56.299455881118774, 55.076287508010864, 53.1555655002594, 54.829320669174194, 54.772066593170166, 50.70712471008301, 49.261961936950684, 50.031214475631714, 50.48618221282959"
matte cobblestone,slick marble,"59.93749952316284, 53.354878425598145, 46.32065725326538, 37.41102194786072, 24.68594980239868, 34.31967902183533, 53.5467312335968, 61.28439402580261, 62.015201807022095, 61.954161167144775","59.93749952316284, 60.57587218284607, 57.9019718170166, 59.2158989906311, 61.3326518535614, 45.49503993988037, 46.15862417221069, 46.79719519615173, 49.79297709465027, 56.096680879592896","58.117185831069946, 56.835296630859375, 55.96561074256897, 55.635310888290405, 55.05727958679199, 51.670366525650024, 49.37913107872009, 49.85710048675537, 50.52209758758545, 61.954161167144775"
slick marble,light sandpaper,"57.48420977592468, 56.29210591316223, 56.62248516082764, 59.4168062210083, 57.31984829902649, 58.6367084980011, 57.96626353263855, 60.91743183135986, 61.014729261398315, 58.962310791015625","57.48420977592468, 52.88855290412903, 50.873353242874146, 50.90487551689148, 47.134790658950806, 40.880884885787964, 45.987096071243286, 57.52831745147705, 59.15849161148071, 58.42980074882507","58.68127918243408, 57.71193552017212, 55.32162618637085, 58.03810167312622, 59.45057916641235, 65.49233293533325, 63.19760036468506, 57.13525652885437, 60.28521275520325, 58.962310791015625"
smooth terracotta,light emerald,"32.99940776824951, 38.99970984458923, 43.61855864524841, 45.62291216850281, 45.626303911209106, 44.68571877479553, 43.38099431991577, 41.95430874824524, 40.27333617210388, 38.21649169921875","32.99940776824951, 33.746946573257446, 41.122626543045044, 47.57708525657654, 50.902275800704956, 51.75789737701416, 54.2331907749176, 54.348464012145996, 55.36020565032959, 55.76938438415527","57.569464683532715, 60.743841886520386, 60.36242938041687, 60.56989932060242, 59.81582760810852, 58.502782344818115, 61.831591844558716, 58.97282123565674, 56.26085662841797, 38.21649169921875"
shiny silicon,slick marble,"45.067591190338135, 36.13083100318909, 19.547000408172607, 36.82765984535217, 54.45689058303833, 56.69643592834473, 58.19657516479492, 58.97169375419617, 54.997366189956665, 50.72634267807007","45.067591190338135, 52.416112184524536, 44.17468500137329, 41.34167408943176, 45.81172776222229, 49.15317749977112, 55.16715908050537, 57.27165722846985, 56.49174356460571, 58.8808753490448","48.86150050163269, 54.10759782791138, 54.78757882118225, 53.25832509994507, 56.96477270126343, 59.52841663360596, 58.32384514808655, 59.275195598602295, 51.594897508621216, 50.72634267807007"
polished bamboo,reflective graphite,"36.81172776222229, 39.72784733772278, 44.77105116844177, 51.16527342796326, 57.15514063835144, 58.67229652404785, 54.0885009765625, 50.99077796936035, 48.38062524795532, 48.85433864593506","36.81172776222229, 47.737711906433105, 53.765854597091675, 56.836114168167114, 57.5098819732666, 57.15276646614075, 60.38640880584717, 61.591495990753174, 61.123510122299194, 58.750123500823975","59.13597750663757, 61.71945381164551, 61.6239812374115, 59.86474633216858, 54.781765937805176, 46.156500577926636, 38.36218547821045, 35.511913776397705, 42.38852906227112, 48.85433864593506"
smooth marble,smooth marble,"40.271244049072266, 54.955623149871826, 62.36187195777893, 58.88753318786621, 57.18514966964722, 58.01997685432434, 57.68983578681946, 56.592167139053345, 55.28663110733032, 56.415345430374146","40.271244049072266, 37.28436088562012, 55.9115195274353, 58.22245168685913, 59.026161193847656, 58.46462917327881, 59.999882221221924, 58.99537897109985, 57.167970418930054, 57.184473752975464","49.620458126068115, 52.61171245574951, 54.038464069366455, 55.14995527267456, 54.73812007904053, 54.60187292098999, 54.45207691192627, 54.47235298156738, 55.58941435813904, 56.415345430374146"
slick marble,matte coal,"57.68548846244812, 57.563788414001465, 56.83669638633728, 57.010413646698, 58.7194550037384, 59.87446427345276, 61.253843784332275, 61.47168326377869, 60.869205713272095, 61.190104722976685","57.68548846244812, 60.59329891204834, 63.239177227020264, 63.90902519226074, 62.0658483505249, 61.57883095741272, 60.054368019104004, 57.63642954826355, 57.040157318115234, 58.325523376464844","49.49707365036011, 49.601181745529175, 43.20701575279236, 36.87421488761902, 24.98141884803772, 27.759429931640625, 51.12702393531799, 58.592862606048584, 60.45777344703674, 61.190104722976685"
smooth plastic,reflective graphite,"47.423646450042725, 44.79877543449402, 38.77125549316406, 28.5364727973938, 31.95397424697876, 57.40628218650818, 59.9299213886261, 57.79857063293457, 57.27855825424194, 59.909590005874634","47.423646450042725, 51.79023551940918, 51.32959842681885, 50.74694347381592, 49.62540626525879, 48.8501718044281, 48.85084056854248, 50.95168662071228, 55.10351586341858, 55.85043501853943","48.22149038314819, 54.44951677322388, 54.338340282440186, 55.4895076751709, 55.737131118774414, 56.841002225875854, 57.396164417266846, 57.75305438041687, 58.76586174964905, 59.909590005874634"
dark sandstone,smooth silicon,"61.693984508514404, 63.41041159629822, 53.780473709106445, 52.329676151275635, 42.29613900184631, 10.654234409332275, 27.71098017692566, 44.63516688346863, 40.71441173553467, 48.2249321937561","61.693984508514404, 59.339211225509644, 55.82047915458679, 49.61068511009216, 44.56048512458801, 46.87483286857605, 45.750946283340454, 56.77032494544983, 63.616267919540405, 58.06906843185425","57.96419668197632, 60.07990050315857, 60.04185605049133, 45.40344786643982, 34.64443278312683, 41.07296872138977, 57.09271311759949, 57.814141511917114, 49.12399506568909, 48.2249321937561"
dark marble,matte cobblestone,"59.965359926223755, 60.84463572502136, 61.52998638153076, 60.783015966415405, 59.730223178863525, 58.275054931640625, 56.60038232803345, 55.74130344390869, 55.274075984954834, 55.00284004211426","59.965359926223755, 60.76127338409424, 59.234424352645874, 59.4511456489563, 59.35086226463318, 59.2663779258728, 57.931230306625366, 55.6256046295166, 53.664823055267334, 50.381389141082764","44.36817479133606, 43.173429012298584, 51.340638399124146, 48.86991262435913, 52.96283459663391, 60.74778079986572, 62.04489731788635, 61.0426869392395, 57.13706064224243, 55.00284004211426"
dull paint,cloudy sandpaper,"59.36599516868591, 58.293318033218384, 57.49289536476135, 57.5982141494751, 58.793057918548584, 60.49636244773865, 61.65876317024231, 61.825045347213745, 61.14296817779541, 59.2165949344635","59.36599516868591, 58.03261852264404, 59.34841537475586, 56.10423731803894, 60.374892473220825, 62.922856092453, 60.612956523895264, 61.36456322669983, 58.88427734375, 52.63660979270935","62.30150771141052, 57.10322666168213, 61.98540544509888, 62.817525148391724, 48.6051070690155, 41.92896580696106, 34.789095401763916, 30.507017850875854, 47.66975736618042, 59.2165949344635"
slick marble,coarse ruby,"60.77620220184326, 63.20522403717041, 63.16002702713013, 63.248046875, 58.33815336227417, 55.50144672393799, 53.94807028770447, 50.83531713485718, 50.100980281829834, 41.68910312652588","60.77620220184326, 59.17189311981201, 56.090656042099, 54.782501220703125, 56.46399116516113, 57.24730396270752, 53.95892930030823, 44.66549491882324, 39.09559774398804, 35.157018423080444","56.11737656593323, 57.55836606025696, 62.052199840545654, 61.789963483810425, 59.81373047828674, 56.604692220687866, 50.20783567428589, 48.62559676170349, 41.048091650009155, 41.68910312652588"
polished paint,smooth marble,"23.67436957359314, 23.24952793121338, 24.01249051094055, 24.651014804840088, 25.09541606903076, 25.343162536621094, 25.778228998184204, 27.31626605987549, 30.422512769699097, 36.3982036113739","23.67436957359314, 38.36404228210449, 50.282280921936035, 55.794739723205566, 57.84357237815857, 59.9948251247406, 59.49216628074646, 57.92350769042969, 59.05531454086304, 61.510621786117554","55.27515530586243, 47.71589517593384, 39.58185529708862, 34.427993297576904, 23.55159640312195, 19.4188711643219, 21.128356218338013, 23.245028972625732, 28.339747428894043, 36.3982036113739"
slick marble,smooth marble,"59.65305781364441, 61.1808967590332, 61.45445680618286, 61.32013559341431, 59.87877559661865, 58.82594704627991, 57.123873472213745, 54.8760621547699, 53.91416692733765, 53.99997639656067","59.65305781364441, 61.047977924346924, 59.70723581314087, 62.602635860443115, 60.895853757858276, 61.04364371299744, 59.938804626464844, 59.50767469406128, 59.5352668762207, 59.053229331970215","50.52787256240845, 54.86171364784241, 57.44433903694153, 48.04284691810608, 41.571199893951416, 45.57473611831665, 51.94790291786194, 52.7861692905426, 54.11817193031311, 53.99997639656067"
dull paint,smooth paint,"43.723472356796265, 47.53539156913757, 50.88569784164429, 52.22326374053955, 52.94723582267761, 51.99879574775696, 53.79110813140869, 56.04552912712097, 54.58143711090088, 53.21316599845886","43.723472356796265, 39.04360914230347, 43.5168080329895, 51.95801877975464, 57.30374884605408, 61.5003764629364, 63.14024090766907, 57.06781363487244, 54.63456845283508, 59.623579025268555","59.672935485839844, 60.88333868980408, 60.85334324836731, 59.90000891685486, 61.219024658203125, 56.767245292663574, 45.43782138824463, 40.05885362625122, 44.54352617263794, 53.21316599845886"
light marble,reflective marble,"51.87140154838562, 55.22182273864746, 54.46935749053955, 55.01831650733948, 56.127609968185425, 54.5591676235199, 54.83571815490723, 55.89803719520569, 58.0647497177124, 59.660330057144165","51.87140154838562, 52.65747833251953, 52.57223653793335, 53.642754316329956, 53.8464093208313, 53.858686208724976, 54.178651571273804, 55.85930848121643, 58.054407835006714, 59.33453059196472","53.43684935569763, 54.1154203414917, 54.098527908325195, 54.55730414390564, 54.6467981338501, 55.34041428565979, 56.22822976112366, 57.74826121330261, 58.97557234764099, 59.660330057144165"
polished plastic,smooth silicon,"43.12714338302612, 37.853755712509155, 29.313456535339355, 29.291661024093628, 52.48602223396301, 55.25031638145447, 54.55818796157837, 51.78923511505127, 52.61321759223938, 55.656479597091675","43.12714338302612, 53.75797080993652, 49.88693141937256, 50.753708600997925, 50.82376050949097, 50.55321526527405, 53.0095157623291, 59.018261432647705, 58.8089439868927, 54.08162546157837","48.131969690322876, 53.05995583534241, 56.75488638877869, 55.825429916381836, 55.28792691230774, 50.53353929519653, 46.949726819992065, 45.86151099205017, 52.42952919006348, 55.656479597091675"
smooth sandstone,smooth paint,"57.46646165847778, 53.562516927719116, 48.712223529815674, 41.13602304458618, 37.36873984336853, 37.096439838409424, 38.22509741783142, 41.52586245536804, 49.02117109298706, 53.63329482078552","57.46646165847778, 57.49943780899048, 55.45251131057739, 46.784730195999146, 46.94777798652649, 52.05924987792969, 47.254931926727295, 45.180551052093506, 45.96743059158325, 50.80069947242737","55.58224153518677, 54.54793357849121, 52.67187833786011, 47.88316798210144, 45.123390436172485, 46.48621940612793, 48.49876117706299, 51.37058639526367, 55.639854431152344, 53.63329482078552"
smooth silicon,dark nickel,"56.2433876991272, 61.25264024734497, 59.68597340583801, 59.63732385635376, 58.14995312690735, 60.40272808074951, 65.96193623542786, 47.428954124450684, 29.710317373275757, 18.619677305221558","56.2433876991272, 59.359042167663574, 60.23064994812012, 58.76770567893982, 57.773462533950806, 55.27484130859375, 55.08762812614441, 50.50883913040161, 39.77851986885071, 41.31924629211426","56.84551739692688, 62.99183917045593, 65.33466362953186, 66.7204008102417, 63.6637659072876, 61.12213683128357, 57.902939319610596, 56.3321807384491, 33.250744342803955, 18.619677305221558"
smooth paint,smooth silicon,"62.15896940231323, 59.04937696456909, 56.186920404434204, 62.05037450790405, 70.55680704116821, 63.30690121650696, 50.48258972167969, 38.27755379676819, 30.265437364578247, 26.998538494110107","62.15896940231323, 61.768022537231445, 37.523473501205444, 22.471903562545776, 23.687049627304077, 40.271573305130005, 67.20605683326721, 63.013967990875244, 44.86695861816406, 61.071455240249634","58.77384543418884, 59.90908122062683, 53.260212421417236, 55.58362054824829, 59.96268129348755, 59.38656949996948, 60.347782135009766, 57.77521347999573, 49.20279622077942, 26.998538494110107"
slick marble,dull paint,"58.82173204421997, 60.54724645614624, 58.3169801235199, 44.24656820297241, 36.000332832336426, 33.680042028427124, 32.78871488571167, 24.74144411087036, 17.956425189971924, 16.652403116226196","58.82173204421997, 57.75674605369568, 54.80065679550171, 53.39677619934082, 53.78716063499451, 52.30294895172119, 51.60197067260742, 47.69611954689026, 51.562506914138794, 53.423967361450195","57.050315618515015, 58.39903545379639, 60.11230254173279, 61.48512053489685, 59.626405239105225, 58.02307486534119, 56.28197264671326, 50.91458034515381, 42.836650371551514, 16.652403116226196"
